Model:Hubble,Buyer:Open,
Number,HiSpec,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Number,LowSpec,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Number,FTG,P1,P2, P3, P4, P5, P6, P7,P8,P9,P10,Judgment,LowSpec,HiSpec,Date
1,FTG,1.14,1.03,1.12,1.19,0.97,1.05,1.04,1,1.5,0.94,False,0.8,1.2,6/24/2020 5:31:10 PM
2,FTG,1.1,1.08,1.15,1.65,0.98,1.06,1.02,1.01,1.04,0.98,False,0.8,1.2,6/24/2020 5:34:20 PM
3,FTG,1.01,0.93,1.05,0.11,0.9,1.1,1.02,1.01,1.12,0.87,False,0.8,1.2,6/24/2020 5:35:01 PM
4,FTG,1.14,1.05,1.14,1.08,1.01,1.13,1.02,1.02,1.05,0.9,True,0.8,1.2,6/24/2020 5:35:52 PM
5,FTG,1,1.02,1.11,1.07,1,1.09,1.04,1,0.1,0.92,False,0.8,1.2,6/24/2020 5:36:59 PM
6,FTG,1.06,1.06,1.13,1.24,1.12,1.12,1.02,0.93,1.12,0.91,False,0.8,1.2,6/24/2020 5:39:13 PM
7,FTG,1.14,0.99,1.06,1.08,0.98,1.11,1.13,1.09,1.96,0.13,False,0.8,1.2,6/24/2020 5:39:54 PM
8,FTG,1.07,1.07,1.14,1.07,1.01,1.12,1.03,1,1.9,0.89,False,0.8,1.2,6/24/2020 5:40:31 PM
9,FTG,1.13,1.06,1.13,1.07,1.05,1.08,1.01,1.08,1.52,0.13,False,0.8,1.2,6/24/2020 5:41:10 PM
10,FTG,1.01,1.05,1.11,0.99,0.98,1.07,1.04,1.07,1.05,0.92,True,0.8,1.2,6/24/2020 5:41:43 PM
11,FTG,1.16,1.1,1.13,1.06,1.05,1.09,1.02,1.1,1.51,0.14,False,0.8,1.2,6/24/2020 5:46:26 PM
12,FTG,1.14,1.07,1.15,1.27,1.05,1.12,1.01,0.99,1.04,0.92,False,0.8,1.2,6/24/2020 5:48:18 PM
